,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
0,221,engineering,,0.932867640125,4,,low,0.829896195856,Left,5.0
1,232,support,,,3,,low,0.83454379486,Employed,2.0
2,184,sales,,0.788829841906,3,,medium,0.83498761146,Employed,3.0
3,206,sales,,0.575687930548,4,,low,0.424764288455,Employed,2.0
4,249,sales,,0.845217472223,3,,low,0.779043096207,Employed,3.0
5,140,sales,,0.589097371097,4,,medium,0.660019904653,Employed,4.0
6,121,sales,1.0,0.625398829756,3,,low,0.835570551332,Employed,3.0
7,150,engineering,,0.644585844252,4,,low,0.796683395041,Employed,3.0
8,215,engineering,1.0,0.524113534303,3,,medium,0.715005031778,Employed,7.0
9,269,support,,0.909364329867,5,,medium,0.994037397572,Employed,2.0
10,147,sales,,,2,,medium,0.403551807833,Left,3.0
11,188,sales,1.0,0.925479635028,6,,low,0.481408601913,Employed,5.0
12,191,support,,0.946723810178,5,,low,0.925337129205,Employed,4.0
13,290,engineering,,0.770247874835,6,,medium,0.0903427928993,Left,4.0
14,253,sales,,0.579966136579,5,,medium,0.627725954785,Employed,6.0
15,258,support,,0.83750251321,5,,medium,0.849667273388,Left,5.0
16,151,engineering,,0.452832173339,4,,medium,0.658608148415,Employed,3.0
17,252,IT,,0.919196292221,5,,low,0.893364991385,Left,5.0
18,276,product,,0.570038733441,4,,low,0.382260201481,Employed,2.0
19,154,marketing,,,2,,low,0.422224873681,Left,3.0
20,259,product,,0.763606785571,2,,low,0.787468036595,Employed,3.0
21,136,marketing,,,3,,low,0.441057742416,Employed,3.0
22,176,IT,,,3,,low,0.871386303936,Employed,3.0
23,231,support,,0.937508765506,4,,medium,0.668369478474,Employed,3.0
24,125,temp,,,2,,medium,,Employed,
25,109,sales,1.0,0.79806865971,3,,low,0.5378283407,Employed,3.0
26,130,procurement,1.0,0.716030369805,6,,low,0.17545398857,Employed,6.0
27,163,sales,,0.550433958621,2,,medium,0.544376725538,Employed,3.0
28,67,temp,,,1,,low,,Employed,
29,184,sales,,0.762948071371,4,,medium,0.61761099451,Employed,3.0
30,268,engineering,,0.943844634761,3,,low,0.936081051349,Employed,4.0
31,188,finance,,0.862307681863,3,,medium,1.0,Employed,4.0
32,107,engineering,,0.474348552013,2,,medium,0.615676166623,Employed,3.0
33,156,sales,,0.621111081488,3,,medium,0.428014178318,Employed,3.0
34,234,IT,1.0,0.861565035066,4,,medium,0.627199942868,Employed,2.0
35,127,sales,,,5,,low,0.834380141441,Employed,3.0
36,282,IT,,0.723354974146,5,,medium,0.213991819262,Employed,3.0
37,133,sales,,0.971212666951,3,,low,0.81881990402,Employed,4.0
38,270,engineering,,0.475292596644,6,,low,0.150336701933,Employed,5.0
39,184,,,1.0,5,,low,0.297124011916,Employed,5.0
40,132,marketing,,0.495013019585,2,,low,0.438559831841,Left,3.0
41,126,support,1.0,0.821486564704,3,,low,0.772891198476,Employed,10.0
42,139,product,,0.856088542854,4,,medium,0.683456025422,Employed,3.0
43,308,engineering,,0.863262837113,7,,medium,0.124350225113,Left,4.0
44,70,temp,,,3,,low,,Employed,
45,147,engineering,,,2,,low,0.401974706734,Left,3.0
46,274,support,,0.842357312745,5,,medium,0.803068372458,Left,6.0
47,278,sales,,0.766255776106,7,,low,0.148641753756,Left,4.0
48,156,engineering,,0.988904841707,4,,medium,0.456248436343,Employed,2.0
49,185,sales,,0.598749268628,4,,low,0.869204283803,Employed,2.0
50,263,sales,,0.744946770195,6,,low,0.759619999861,Employed,6.0
51,260,sales,,0.765783959048,5,,low,0.711329117452,Employed,3.0
52,224,support,,0.561019606401,5,,medium,0.905668551956,Employed,2.0
53,224,sales,,0.910270844185,4,,medium,0.615978243951,Employed,10.0
54,135,sales,,0.533361920913,2,,low,0.388070140261,Left,3.0
55,147,marketing,,0.713746663503,2,,low,0.967868020835,Employed,3.0
56,245,engineering,,0.932526593689,7,,medium,0.0611736227462,Left,4.0
57,203,product,1.0,0.494479274509,3,,medium,0.492376555226,Employed,3.0
58,235,finance,1.0,0.73584977947,4,,high,0.928861452039,Employed,2.0
59,187,IT,,0.734682887881,3,,low,0.213485171732,Employed,5.0
60,132,management,,0.535231622309,2,,low,0.42982208453,Left,3.0
61,258,product,,0.813773773076,7,,low,0.146593184754,Left,4.0
62,165,engineering,,0.522047696785,4,,low,0.851394379473,Employed,2.0
63,146,sales,,0.531577278913,2,,low,0.401953818946,Left,3.0
64,159,,,0.694100719628,3,,low,0.556401858998,Employed,3.0
65,198,engineering,,0.749982470997,2,,medium,0.526960725245,Left,2.0
66,159,marketing,,0.483106967958,2,,low,0.43881926966,Left,3.0
67,275,product,,0.573595902184,2,,low,0.894658512778,Employed,3.0
68,141,support,,0.93246221727,3,,medium,0.810725321567,Employed,3.0
69,173,finance,,,4,,low,0.862683386414,Employed,3.0
70,203,sales,,0.586132024189,5,,medium,0.703755788738,Employed,2.0
71,203,engineering,,0.60609019318,4,,low,0.274144973785,Employed,5.0
72,230,sales,,0.801731335549,5,,medium,0.129582617236,Employed,4.0
73,168,sales,,0.589119714762,4,,low,0.475901903919,Employed,2.0
74,183,IT,,0.716132845639,3,,low,0.786998508273,Employed,3.0
75,246,support,,0.328416715168,5,,medium,0.461553348758,Employed,3.0
76,209,engineering,,0.707901456874,5,,low,0.831582239545,Employed,3.0
77,224,sales,,1.0,3,,medium,0.527417463367,Employed,6.0
78,143,support,,0.583222823704,2,,low,0.477948490242,Left,3.0
79,140,sales,,0.999150412396,2,,medium,0.503040551037,Employed,2.0
80,212,support,,0.789082021068,3,,low,0.725231676188,Employed,4.0
81,156,marketing,,0.50256282621,3,,low,0.63550328871,Employed,5.0
82,186,IT,,0.859763957297,3,,medium,0.72966753059,Employed,2.0
83,162,sales,,0.502258814493,3,,low,0.800482237797,Employed,3.0
84,158,support,,0.543576313346,2,,low,0.352520082651,Left,3.0
85,156,sales,,,3,,low,0.549054592827,Employed,2.0
86,283,IT,,,3,,low,0.55000365191,Employed,3.0
87,113,,,0.511793620362,4,,low,0.632133263962,Employed,3.0
88,214,IT,1.0,,4,,low,0.96940778655,Employed,2.0
89,181,product,1.0,0.674893831177,3,,medium,0.547941153654,Employed,3.0
90,140,support,,0.801322765258,4,,low,0.526745455356,Employed,3.0
91,184,engineering,,0.918450089622,4,,low,0.914882604937,Employed,3.0
92,168,sales,1.0,0.389626690049,3,,low,0.394051564841,Employed,3.0
93,146,engineering,,0.55743729675,2,,medium,0.471104658609,Left,3.0
94,251,engineering,,0.871911091013,4,,medium,0.69605347067,Employed,2.0
95,219,support,,1.0,5,,low,0.734579415209,Left,5.0
96,170,product,,0.518013684148,2,,low,0.352082285557,Employed,3.0
97,187,marketing,,0.680370266157,4,,medium,0.1891154715,Employed,5.0
98,207,product,,0.495033514598,3,,medium,0.576405944943,Employed,3.0
99,165,support,,0.598530648395,5,,low,0.769536380891,Employed,3.0
100,241,,,0.766544820877,3,,low,0.851892327123,Employed,3.0
101,139,engineering,,,4,,low,0.771816992189,Employed,3.0
102,165,support,,0.838420070517,3,,low,0.59824818897,Employed,4.0
103,167,engineering,,0.625649373344,5,,low,0.487113849919,Employed,2.0
104,163,sales,,0.927717667159,4,,medium,0.792414076414,Employed,3.0
105,161,,,0.695097614045,2,,medium,0.611688696654,Employed,5.0
106,271,IT,,0.96930400526,6,,low,0.172048602687,Left,4.0
107,310,sales,,0.858179169027,7,,medium,0.14712496977,Left,4.0
108,257,support,,0.725018808946,4,,low,0.762030408475,Employed,3.0
109,278,sales,,0.862236739522,7,,low,0.0979844302499,Left,4.0
110,229,engineering,,0.630154827545,3,,medium,0.0815637410362,Employed,6.0
111,186,IT,,0.560171575754,3,,medium,0.736063189186,Employed,3.0
112,211,sales,,0.947729025431,4,,high,0.355979751381,Employed,7.0
113,248,management,,,4,,high,0.62362639988,Employed,3.0
114,231,management,1.0,,3,,high,0.74538874343,Employed,2.0
115,266,sales,,0.872041703232,3,,low,0.694190317681,Employed,5.0
116,135,engineering,,0.451192121989,2,,low,0.391651859939,Left,3.0
117,248,support,,1.0,5,,medium,0.700604105528,Left,5.0
118,161,IT,,0.725723556158,4,,low,0.785723886722,Employed,3.0
119,212,product,,0.872785533979,3,,medium,0.531863130276,Employed,2.0
120,103,,,0.583870365374,3,,low,0.381824395741,Employed,3.0
121,160,sales,,0.890712724018,3,,low,0.761765030332,Employed,2.0
122,268,engineering,,0.797235381041,5,,low,0.851411583712,Employed,3.0
123,116,sales,1.0,0.845078318802,4,,low,0.309868647222,Employed,3.0
124,150,,,0.559400039223,2,,low,0.444263576884,Left,3.0
125,146,IT,,0.500957306437,2,,low,0.411233749144,Left,3.0
126,215,IT,,0.421692216116,6,,medium,0.606946725712,Employed,3.0
127,194,sales,,0.534309122293,5,,high,0.969190797803,Employed,2.0
128,200,product,,0.425131894498,5,,medium,0.565407293567,Employed,4.0
129,213,sales,,0.770463824334,3,,high,0.543262177395,Employed,3.0
130,163,information_technology,,0.905180515303,3,,low,0.93331321955,Employed,2.0
131,148,sales,,0.47302692426,2,,low,0.443427763613,Left,3.0
132,245,product,,0.506201222856,2,,medium,0.454911641867,Employed,5.0
133,250,support,,0.873045465289,3,,low,0.5534421048,Left,2.0
134,250,sales,1.0,0.828825763738,5,,low,0.832955695628,Employed,2.0
135,173,engineering,,0.725963978215,2,,medium,0.452392397848,Employed,2.0
136,248,sales,1.0,0.896942281485,4,,low,0.741786835002,Employed,3.0
137,158,management,,0.63554573583,5,,medium,0.956238933842,Employed,3.0
138,196,support,,0.840207778701,4,,low,0.468987245804,Employed,2.0
139,265,procurement,,0.626653131615,3,,low,0.906159310018,Employed,8.0
140,159,engineering,,0.868121020214,3,,high,0.961235399317,Employed,3.0
141,262,sales,,0.907731548868,5,,medium,0.972423058356,Employed,3.0
142,175,sales,,0.403619418352,3,,medium,0.2846772958,Employed,3.0
143,278,sales,,0.7778811669,7,,low,0.114724686913,Left,4.0
144,248,sales,,0.859383829667,5,,low,0.933486376879,Left,5.0
145,275,product,,0.524095060049,3,,low,0.63172969046,Employed,2.0
146,258,support,,0.866158286663,5,,low,0.293123234813,Employed,6.0
147,253,engineering,,1.0,5,,medium,0.852952125868,Left,5.0
148,165,support,,0.643410636607,4,,low,0.161553642486,Employed,5.0
149,269,support,1.0,0.767369069925,3,,medium,0.248522034985,Employed,4.0
150,148,finance,,0.538478484226,2,,medium,0.467529517276,Left,3.0
151,156,sales,1.0,0.950282237768,4,,low,0.672060063083,Employed,2.0
152,274,sales,1.0,0.811500420662,4,,low,0.839058813805,Employed,2.0
153,196,support,1.0,1.0,3,,low,0.705585358718,Employed,6.0
154,146,engineering,1.0,0.358995978401,3,,low,0.623106482497,Employed,4.0
155,274,sales,,0.489904811186,2,,low,0.666894021832,Left,4.0
156,139,marketing,,0.519776982615,2,,low,0.372463409943,Left,3.0
157,132,product,,0.437142715501,4,,high,0.6312002898,Employed,3.0
158,231,IT,1.0,0.615510631336,5,,medium,0.237030559811,Employed,4.0
159,254,sales,,0.547034374298,4,,low,0.50542191225,Left,4.0
